Elapsed_Time,Latency
2016-10-02 13:48:06,280676813
2016-10-02 13:48:06,220653529
2016-10-02 13:48:07,69855831
2016-10-02 13:48:06,434399963
2016-10-02 13:48:07,86003706
2016-10-02 13:48:07,71014346
2016-10-02 13:48:07,82588449
2016-10-02 13:48:07,68178758
2016-10-02 13:48:07,126808564
2016-10-02 13:48:07,160756070
2016-10-02 13:48:07,82573974
2016-10-02 13:48:07,71976387
2016-10-02 13:48:07,211471283
2016-10-02 13:48:07,83802864
2016-10-02 13:48:07,133826919
2016-10-02 13:48:07,106998004
2016-10-02 13:48:07,61974738
2016-10-02 13:48:07,78542183
2016-10-02 13:48:08,99334850
2016-10-02 13:48:08,89128781
2016-10-02 13:48:08,63246511
2016-10-02 13:48:08,92317036
2016-10-02 13:48:08,78234179
2016-10-02 13:48:08,72422644
2016-10-02 13:48:08,59407709
2016-10-02 13:48:08,64089001
2016-10-02 13:48:08,84667356
2016-10-02 13:48:08,65844823
2016-10-02 13:48:08,73222905
2016-10-02 13:48:08,73757358
2016-10-02 13:48:08,83934721
2016-10-02 13:48:08,82314307
2016-10-02 13:48:08,70206588
2016-10-02 13:48:08,245345539
2016-10-02 13:48:08,120453410
2016-10-02 13:48:08,232994414
2016-10-02 13:48:08,106173522
2016-10-02 13:48:08,113592363
2016-10-02 13:48:08,225166766
2016-10-02 13:48:08,107335346
2016-10-02 13:48:08,150191993
2016-10-02 13:48:08,285092031
2016-10-02 13:48:08,235882353
2016-10-02 13:48:08,149429248
2016-10-02 13:48:08,189507411
2016-10-02 13:48:08,182021116
2016-10-02 13:48:08,191417365
2016-10-02 13:48:08,171623242
2016-10-02 13:48:08,166221788
2016-10-02 13:48:08,144128745
2016-10-02 13:48:08,132989031
2016-10-02 13:48:08,162050022
2016-10-02 13:48:08,150719994
2016-10-02 13:48:08,144435086
2016-10-02 13:48:08,174896137
2016-10-02 13:48:08,130731393
2016-10-02 13:48:08,179776738
2016-10-02 13:48:08,155939034
2016-10-02 13:48:08,143537988
2016-10-02 13:48:08,331989737
2016-10-02 13:48:08,178991790
2016-10-02 13:48:08,204030467
2016-10-02 13:48:08,192449797
2016-10-02 13:48:08,190424535
2016-10-02 13:48:08,193901426
2016-10-02 13:48:08,203691398
2016-10-02 13:48:08,184758196
2016-10-02 13:48:08,220596004
2016-10-02 13:48:08,283102602
2016-10-02 13:48:08,240652781
2016-10-02 13:48:08,254188642
2016-10-02 13:48:08,281633077
2016-10-02 13:48:09,259752230
2016-10-02 13:48:08,434075353
2016-10-02 13:48:09,289053226
2016-10-02 13:48:09,290765951
2016-10-02 13:48:09,334948244
2016-10-02 13:48:09,298848884
2016-10-02 13:48:08,379675478
2016-10-02 13:48:09,315690579
2016-10-02 13:48:09,309299871
2016-10-02 13:48:09,320189045
2016-10-02 13:48:09,297045563
2016-10-02 13:48:09,320223886
2016-10-02 13:48:09,340035194
2016-10-02 13:48:09,337492205
2016-10-02 13:48:09,471883511
2016-10-02 13:48:09,359478749
2016-10-02 13:48:09,370549034
2016-10-02 13:48:09,366104146
2016-10-02 13:48:08,745761278
2016-10-02 13:48:09,377983734
2016-10-02 13:48:09,367296948
2016-10-02 13:48:09,599739512
2016-10-02 13:48:09,387277273
2016-10-02 13:48:09,381049668
2016-10-02 13:48:09,377269257
2016-10-02 13:48:09,383570867
2016-10-02 13:48:09,379098816
2016-10-02 13:48:09,384990719
2016-10-02 13:48:09,380632578
2016-10-02 13:48:09,375698468
2016-10-02 13:48:08,839948101
2016-10-02 13:48:09,1648583400
2016-10-02 13:48:10,79110895
2016-10-02 13:48:10,74018786
2016-10-02 13:48:10,73174107
2016-10-02 13:48:10,68182838
2016-10-02 13:48:10,111359976
2016-10-02 13:48:10,103347364
2016-10-02 13:48:10,115763207
2016-10-02 13:48:10,104285086
2016-10-02 13:48:10,119970207
2016-10-02 13:48:10,111968783
2016-10-02 13:48:10,111078301
2016-10-02 13:48:10,186377536
2016-10-02 13:48:10,189270291
2016-10-02 13:48:10,181823234
2016-10-02 13:48:10,152066735
2016-10-02 13:48:10,149023397
2016-10-02 13:48:10,165243565
2016-10-02 13:48:10,181656403
2016-10-02 13:48:10,219417354
2016-10-02 13:48:10,179477636
2016-10-02 13:48:10,197722194
2016-10-02 13:48:10,201911069
2016-10-02 13:48:10,228077270
2016-10-02 13:48:10,205744101
2016-10-02 13:48:10,215715277
2016-10-02 13:48:10,230592805
2016-10-02 13:48:10,227253689
2016-10-02 13:48:10,217595259
2016-10-02 13:48:10,231817307
2016-10-02 13:48:10,233055620
2016-10-02 13:48:10,232272886
2016-10-02 13:48:11,228063185
2016-10-02 13:48:11,244254480
2016-10-02 13:48:11,263589788
2016-10-02 13:48:11,250081763
2016-10-02 13:48:11,269736698
2016-10-02 13:48:11,269550505
2016-10-02 13:48:11,265338994
2016-10-02 13:48:11,263246617
2016-10-02 13:48:11,279068292
2016-10-02 13:48:11,284565849
2016-10-02 13:48:11,301468145
2016-10-02 13:48:11,307488717
2016-10-02 13:48:11,299516242
2016-10-02 13:48:11,306339376
2016-10-02 13:48:11,332366364
2016-10-02 13:48:10,409278216
2016-10-02 13:48:11,325595736
2016-10-02 13:48:11,323809976
2016-10-02 13:48:11,341762011
2016-10-02 13:48:11,334399298
2016-10-02 13:48:11,344863840
2016-10-02 13:48:11,370054259
