Elapsed_Time,Microsoft_Ramp_Up_Latencies
2016-10-04 17:54:58.803386543Z,751.44744
2016-10-04 17:54:58.863386543Z,698.678576
2016-10-04 17:54:58.823386543Z,788.139536
2016-10-04 17:54:58.873386543Z,787.198512
2016-10-04 17:54:58.898243263Z,790.52824
2016-10-04 17:54:58.903386543Z,785.501024
2016-10-04 17:54:58.923386543Z,765.898704
2016-10-04 17:54:58.883386543Z,826.822912
2016-10-04 17:54:58.973386543Z,754.068656
2016-10-04 17:54:59.093386543Z,640.760512
2016-10-04 17:54:58.913386543Z,831.678752
2016-10-04 17:54:58.953386543Z,803.062256
2016-10-04 17:54:58.933386543Z,846.255024
2016-10-04 17:54:59.033386543Z,746.694416
2016-10-04 17:54:59.063386543Z,812.599584
2016-10-04 17:54:59.043386543Z,841.82832
2016-10-04 17:54:59.003386543Z,882.080928
2016-10-04 17:54:58.943386543Z,957.038336
2016-10-04 17:54:59.223386543Z,678.01824
2016-10-04 17:54:58.963386543Z,943.418144
2016-10-04 17:54:59.153386543Z,753.813616
2016-10-04 17:54:58.993386543Z,913.947024
2016-10-04 17:54:59.163386543Z,755.994176
2016-10-04 17:54:59.103386543Z,819.047968
2016-10-04 17:54:59.183386543Z,744.659312
2016-10-04 17:54:59.113386543Z,825.291824
2016-10-04 17:54:59.013386543Z,971.402224
2016-10-04 17:54:59.053386543Z,954.354752
2016-10-04 17:54:59.283386543Z,786.617712
2016-10-04 17:54:59.273386543Z,880.260448
2016-10-04 17:54:59.353386543Z,802.999056
2016-10-04 17:54:59.493386543Z,674.710864
2016-10-04 17:54:59.073386543Z,1126.154544
2016-10-04 17:54:59.263386543Z,942.559008
2016-10-04 17:54:59.243386543Z,967.948096
2016-10-04 17:54:59.173386543Z,1051.012768
2016-10-04 17:54:59.473386543Z,751.301968
2016-10-04 17:54:59.403386543Z,828.919232
2016-10-04 17:54:59.023386543Z,1214.313664
2016-10-04 17:54:59.313386543Z,929.392848
2016-10-04 17:54:59.133386543Z,1133.191104
2016-10-04 17:54:59.513386543Z,758.39744
2016-10-04 17:54:59.233386543Z,1045.248368
2016-10-04 17:54:59.443386543Z,837.348224
2016-10-04 17:54:59.413386543Z,867.361168
2016-10-04 17:54:59.423386543Z,857.830544
2016-10-04 17:54:59.293386543Z,988.09696
2016-10-04 17:54:59.123386543Z,1164.088384
2016-10-04 17:54:59.593386543Z,729.740688
2016-10-04 17:54:59.323386543Z,1003.792448
2016-10-04 17:54:59.343386543Z,1085.824912
2016-10-04 17:54:59.363386543Z,1071.519808
2016-10-04 17:54:59.373386543Z,1063.72056
2016-10-04 17:54:59.753386543Z,697.25808
2016-10-04 17:54:59.573386543Z,881.716256
2016-10-04 17:54:59.743386543Z,714.600128
2016-10-04 17:54:59.773386543Z,688.801712
2016-10-04 17:54:59.483386543Z,983.18056
2016-10-04 17:54:59.393386543Z,1078.349456
2016-10-04 17:54:59.823386543Z,663.259136
2016-10-04 17:54:59.783386543Z,703.491328
2016-10-04 17:54:59.463386543Z,1023.596672
2016-10-04 17:54:59.533386543Z,953.651616
2016-10-04 17:54:59.803386543Z,715.1536
2016-10-04 17:54:59.763386543Z,763.548848
2016-10-04 17:54:59.603386543Z,924.881472
2016-10-04 17:54:59.713386543Z,815.206464
2016-10-04 17:54:59.433386543Z,1104.479008
2016-10-04 17:54:59.453386543Z,1084.772448
2016-10-04 17:54:59.543386543Z,997.37824
2016-10-04 17:54:59.503386543Z,1063.581968
2016-10-04 17:54:59.653386543Z,924.239232
2016-10-04 17:54:59.523386543Z,1057.224992
2016-10-04 17:54:59.793386543Z,793.8196
2016-10-04 17:54:59.553386543Z,1037.238672
2016-10-04 17:54:59.583386543Z,1016.744544
2016-10-04 17:54:59.663386543Z,940.21928
2016-10-04 17:54:59.893386543Z,712.181152
2016-10-04 17:54:59.813386543Z,839.24152
2016-10-04 17:54:59.623386543Z,1032.534256
2016-10-04 17:54:59.673386543Z,991.597408
2016-10-04 17:54:59.643386543Z,1024.556736
2016-10-04 17:54:59.963386543Z,719.199536
2016-10-04 17:54:59.703386543Z,992.499664
2016-10-04 17:54:59.933386543Z,779.54096
2016-10-04 17:54:59.833386543Z,899.904688
2016-10-04 17:54:59.613386543Z,1120.614784
2016-10-04 17:54:59.633386543Z,1105.108672
2016-10-04 17:54:59.683386543Z,1057.390752
2016-10-04 17:54:59.563386543Z,1187.4836
2016-10-04 17:54:59.923386543Z,835.677936
2016-10-04 17:54:59.843386543Z,917.457168
2016-10-04 17:54:59.693386543Z,1074.373632
2016-10-04 17:54:59.883386543Z,892.348
2016-10-04 17:54:59.903386543Z,895.989456
2016-10-04 17:54:59.733386543Z,1073.314896
2016-10-04 17:54:59.983386543Z,832.35872
2016-10-04 17:54:59.863386543Z,991.014912
2016-10-04 17:54:59.913386543Z,941.376048
2016-10-04 17:54:59.723386543Z,1157.22784
2016-10-04 17:55:00.073386543Z,816.89656
2016-10-04 17:55:00.013386543Z,877.064608
2016-10-04 17:55:00.043386543Z,847.15744
2016-10-04 17:55:00.003386543Z,889.396
2016-10-04 17:54:59.083386543Z,1809.600192
2016-10-04 17:55:00.093386543Z,799.893536
2016-10-04 17:55:00.213386543Z,684.053712
2016-10-04 17:55:00.033386543Z,869.858144
2016-10-04 17:54:59.943386543Z,969.040864
2016-10-04 17:55:00.023386543Z,897.265568
2016-10-04 17:55:00.223386543Z,700.035552
2016-10-04 17:55:00.053386543Z,871.722304
2016-10-04 17:55:00.123386543Z,811.224704
2016-10-04 17:54:59.853386543Z,1090.410896
2016-10-04 17:55:00.083386543Z,864.269344
2016-10-04 17:54:59.993386543Z,961.774384
2016-10-04 17:55:00.273386543Z,731.203248
2016-10-04 17:55:00.193386543Z,811.281968
2016-10-04 17:55:00.063386543Z,941.861968
2016-10-04 17:55:00.153386543Z,858.53352
2016-10-04 17:54:59.973386543Z,1041.270912
2016-10-04 17:55:00.183386543Z,858.42112
2016-10-04 17:54:59.873386543Z,1189.460512
2016-10-04 17:55:00.253386543Z,818.699344
2016-10-04 17:55:00.163386543Z,910.814848
2016-10-04 17:55:00.113386543Z,965.591248
2016-10-04 17:55:00.103386543Z,1007.52912
2016-10-04 17:55:00.143386543Z,991.408944
2016-10-04 17:54:59.143386543Z,2013.701008
2016-10-04 17:55:00.203386543Z,963.30928
2016-10-04 17:55:00.233386543Z,944.289104
2016-10-04 17:54:59.253386543Z,1938.820928
2016-10-04 17:55:00.283386543Z,921.964
2016-10-04 17:54:58.983386543Z,2246.462
2016-10-04 17:55:00.353386543Z,920.461872
2016-10-04 17:55:00.393386543Z,884.769104
2016-10-04 17:54:59.303386543Z,1974.84584
2016-10-04 17:55:00.323386543Z,957.687648
2016-10-04 17:54:59.203386543Z,2079.109312
2016-10-04 17:55:00.363386543Z,932.489616
2016-10-04 17:55:00.313386543Z,985.306752
2016-10-04 17:54:59.193386543Z,2106.502672
2016-10-04 17:54:59.383386543Z,1921.132704
2016-10-04 17:54:59.953386543Z,1355.669632
2016-10-04 17:55:00.333386543Z,977.675136
2016-10-04 17:55:00.243386543Z,1078.200224
2016-10-04 17:55:00.463386543Z,862.71872
2016-10-04 17:55:00.403386543Z,932.668448
2016-10-04 17:55:00.513386543Z,833.76504
2016-10-04 17:55:00.173386543Z,1174.07712
2016-10-04 17:55:00.443386543Z,906.712816
2016-10-04 17:55:00.343386543Z,1011.335696
2016-10-04 17:55:00.383386543Z,971.530576
2016-10-04 17:55:00.413386543Z,945.84496
2016-10-04 17:55:00.483386543Z,879.005824
2016-10-04 17:55:00.533386543Z,835.88008
2016-10-04 17:55:00.303386543Z,1077.055104
2016-10-04 17:55:00.293386543Z,1089.489456
2016-10-04 17:55:00.373386543Z,1011.803024
2016-10-04 17:55:00.593386543Z,796.536032
2016-10-04 17:55:00.543386543Z,847.859456
2016-10-04 17:55:00.493386543Z,907.508304
2016-10-04 17:55:00.423386543Z,983.024512
2016-10-04 17:55:00.563386543Z,845.202224
2016-10-04 17:54:59.213386543Z,2197.787424
2016-10-04 17:55:00.523386543Z,891.704384
2016-10-04 17:55:00.453386543Z,964.439904
2016-10-04 17:55:00.553386543Z,867.879344
2016-10-04 17:54:59.333386543Z,2094.802928
2016-10-04 17:55:00.473386543Z,984.87752
2016-10-04 17:55:00.433386543Z,1108.209104
2016-10-04 17:55:00.613386543Z,960.589456
2016-10-04 17:55:00.583386543Z,1015.79744
2016-10-04 17:55:00.623386543Z,982.056448
2016-10-04 17:55:00.723386543Z,893.964
2016-10-04 17:55:00.693386543Z,924.469472
2016-10-04 17:55:00.673386543Z,973.76288
2016-10-04 17:55:00.603386543Z,1047.139168
2016-10-04 17:55:00.633386543Z,1021.183232
2016-10-04 17:55:00.803386543Z,866.64728
2016-10-04 17:55:00.663386543Z,1042.338832
2016-10-04 17:55:00.923386543Z,829.02784
2016-10-04 17:55:00.793386543Z,959.16312
2016-10-04 17:55:00.883386543Z,880.76344
2016-10-04 17:55:00.503386543Z,1288.284608
2016-10-04 17:55:00.733386543Z,1067.039728
2016-10-04 17:55:00.703386543Z,1116.593136
2016-10-04 17:55:00.823386543Z,1009.573248
2016-10-04 17:55:00.713386543Z,1127.50168
2016-10-04 17:55:00.773386543Z,1098.18656
2016-10-04 17:55:00.683386543Z,1189.95408
2016-10-04 17:55:00.873386543Z,1013.130112
2016-10-04 17:55:00.833386543Z,1076.39472
2016-10-04 17:55:00.853386543Z,1059.512432
2016-10-04 17:55:00.953386543Z,964.890624
2016-10-04 17:55:00.903386543Z,1028.126992
2016-10-04 17:55:00.983386543Z,954.029952
2016-10-04 17:55:00.843386543Z,1115.590928
2016-10-04 17:55:01.013386543Z,969.165728
2016-10-04 17:55:00.813386543Z,1169.724224
2016-10-04 17:55:01.153386543Z,829.916112
2016-10-04 17:55:00.913386543Z,1070.096832
2016-10-04 17:55:01.023386543Z,966.09592
2016-10-04 17:55:00.783386543Z,1214.556624
2016-10-04 17:55:00.863386543Z,1135.081408
2016-10-04 17:55:00.943386543Z,1056.154512
2016-10-04 17:55:01.093386543Z,906.342416
2016-10-04 17:55:00.893386543Z,1120.50568
2016-10-04 17:55:01.123386543Z,902.22392
2016-10-04 17:55:00.993386543Z,1033.159088
2016-10-04 17:55:00.963386543Z,1085.485072
2016-10-04 17:55:01.263386543Z,808.231936
2016-10-04 17:55:01.063386543Z,1024.892464
2016-10-04 17:55:01.313386543Z,777.94176
2016-10-04 17:55:01.213386543Z,879.537872
2016-10-04 17:55:01.003386543Z,1094.718288
2016-10-04 17:55:00.763386543Z,1344.151728
2016-10-04 17:55:01.033386543Z,1174.14856
2016-10-04 17:55:01.143386543Z,1108.368992
2016-10-04 17:55:01.103386543Z,1148.980544
2016-10-04 17:55:01.083386543Z,1176.639648
2016-10-04 17:55:01.223386543Z,1041.395008
2016-10-04 17:55:01.393386543Z,871.52904
2016-10-04 17:55:00.973386543Z,1293.3812
2016-10-04 17:55:01.183386543Z,1089.754048
2016-10-04 17:55:01.343386543Z,933.411504
2016-10-04 17:55:01.203386543Z,1074.054384
2016-10-04 17:55:01.473386543Z,805.039136
2016-10-04 17:55:01.243386543Z,1040.500976
2016-10-04 17:55:01.283386543Z,1008.365376
2016-10-04 17:55:01.113386543Z,1214.82504
2016-10-04 17:55:01.383386543Z,960.384304
2016-10-04 17:55:01.053386543Z,1307.841952
2016-10-04 17:55:01.043386543Z,1319.821712
2016-10-04 17:55:01.173386543Z,1201.018176
2016-10-04 17:55:01.253386543Z,1124.228688
2016-10-04 17:55:01.233386543Z,1153.97856
2016-10-04 17:55:01.303386543Z,1088.10344
2016-10-04 17:55:01.333386543Z,1058.111232
2016-10-04 17:55:00.133386543Z,2261.839584
2016-10-04 17:55:01.073386543Z,1324.633376
2016-10-04 17:55:00.933386543Z,1466.403632
2016-10-04 17:55:01.193386543Z,1208.424096
2016-10-04 17:55:01.133386543Z,1268.608416
2016-10-04 17:55:01.463386543Z,942.543504
2016-10-04 17:55:01.563386543Z,851.464976
2016-10-04 17:55:01.293386543Z,1131.855232
2016-10-04 17:55:01.663386543Z,764.320576
2016-10-04 17:55:01.423386543Z,1006.930816
2016-10-04 17:55:01.493386543Z,941.852176
2016-10-04 17:55:01.323386543Z,1122.124144
