Elapsed_Time,ISB_Latency
2016-10-02 19:03:30,1655219747
2016-10-02 19:03:29,2096260393
2016-10-02 19:03:29,1932627595
2016-10-02 19:03:30,1539966286
2016-10-02 19:03:30,1602532012
2016-10-02 19:03:29,1922731771
2016-10-02 19:03:30,1573286779
2016-10-02 19:03:30,1954730615
2016-10-02 19:03:30,1858940999
2016-10-02 19:03:30,1833713631
2016-10-02 19:03:30,2035480845
2016-10-02 19:03:30,1741948815
2016-10-02 19:03:29,2202485816
2016-10-02 19:03:30,1947133037
2016-10-02 19:03:29,2274916026
2016-10-02 19:03:30,1767986553
2016-10-02 19:03:30,1865407088
2016-10-02 19:03:30,1994392193
2016-10-02 19:03:30,2097959427
2016-10-02 19:03:30,2064933108
2016-10-02 19:03:29,2404575444
2016-10-02 19:03:30,1764862745
2016-10-02 19:03:29,2343034886
2016-10-02 19:03:29,2309611937
2016-10-02 19:03:29,2257887551
2016-10-02 19:03:30,1927836009
2016-10-02 19:03:30,2234554176
2016-10-02 19:03:30,2081942891
2016-10-02 19:03:29,2339703208
2016-10-02 19:03:30,1847003563
2016-10-02 19:03:29,2501299643
2016-10-02 19:03:29,2386126987
2016-10-02 19:03:30,2086082548
2016-10-02 19:03:30,1833025022
2016-10-02 19:03:30,1840263487
2016-10-02 19:03:30,1860715450
2016-10-02 19:03:30,1812593231
2016-10-02 19:03:30,1853745079
2016-10-02 19:03:30,1909243022
2016-10-02 19:03:30,1867018352
2016-10-02 19:03:30,1813045651
2016-10-02 19:03:30,1800677768
2016-10-02 19:03:30,1842607278
2016-10-02 19:03:30,1902792359
2016-10-02 19:03:30,1862678842
2016-10-02 19:03:30,1842755362
2016-10-02 19:03:30,1823858039
2016-10-02 19:03:30,2421018823
2016-10-02 19:03:30,1808926182
2016-10-02 19:03:30,1831764725
2016-10-02 19:03:30,1761151607
2016-10-02 19:03:30,1821612582
2016-10-02 19:03:30,1784012019
2016-10-02 19:03:30,1807186912
2016-10-02 19:03:30,1743393960
2016-10-02 19:03:30,1735338299
2016-10-02 19:03:30,1722417948
2016-10-02 19:03:30,1743423128
2016-10-02 19:03:30,1670627824
2016-10-02 19:03:30,1714891787
2016-10-02 19:03:31,1663875278
2016-10-02 19:03:30,1703927296
2016-10-02 19:03:31,1653592197
2016-10-02 19:03:31,1288449720
2016-10-02 19:03:31,1372496519
2016-10-02 19:03:31,1657520976
2016-10-02 19:03:31,1403689812
2016-10-02 19:03:31,1356255621
2016-10-02 19:03:31,1468932505
2016-10-02 19:03:31,1590379028
2016-10-02 19:03:31,1478657932
2016-10-02 19:03:31,1161865857
2016-10-02 19:03:31,1342361132
2016-10-02 19:03:31,1127672228
2016-10-02 19:03:31,1637172542
2016-10-02 19:03:31,1702302591
2016-10-02 19:03:31,1602764945
