Elapsed_Time,Ramp_Up_Latencies
2016-10-04 15:27:08.222784783Z,504.799584
2016-10-04 15:27:08.102784783Z,649.960096
2016-10-04 15:27:08.242784783Z,556.432896
2016-10-04 15:27:08.202784783Z,605.99736
2016-10-04 15:27:08.282784783Z,604.062144
2016-10-04 15:27:08.342784783Z,548.749824
2016-10-04 15:27:08.262784783Z,629.736464
2016-10-04 15:27:08.322784783Z,572.588736
2016-10-04 15:27:08.362784783Z,532.892992
2016-10-04 15:27:08.382784783Z,513.630576
2016-10-04 15:27:08.402784783Z,523.596496
2016-10-04 15:27:08.422784783Z,506.458608
2016-10-04 15:27:07.382784783Z,1564.801392
2016-10-04 15:27:08.462784783Z,507.969088
2016-10-04 15:27:08.482784783Z,494.822272
2016-10-04 15:27:08.442784783Z,542.449056
2016-10-04 15:27:08.502784783Z,503.604672
2016-10-04 15:27:08.622784783Z,623.205328
2016-10-04 15:27:08.582784783Z,671.245408
2016-10-04 15:27:08.562784783Z,713.076912
2016-10-04 15:27:08.302784783Z,973.090032
2016-10-04 15:27:08.602784783Z,695.642768
2016-10-04 15:27:08.542784783Z,781.450976
2016-10-04 15:27:08.662784783Z,689.156912
2016-10-04 15:27:08.742784783Z,635.85528
2016-10-04 15:27:08.722784783Z,681.765696
2016-10-04 15:27:08.682784783Z,730.800928
2016-10-04 15:27:08.762784783Z,650.96064
2016-10-04 15:27:08.782784783Z,648.534448
2016-10-04 15:27:08.702784783Z,730.16408
2016-10-04 15:27:08.802784783Z,693.743008
2016-10-04 15:27:08.982784783Z,522.94408
2016-10-04 15:27:08.642784783Z,869.58496
2016-10-04 15:27:08.882784783Z,655.295456
2016-10-04 15:27:08.902784783Z,648.847072
2016-10-04 15:27:08.862784783Z,689.872672
2016-10-04 15:27:08.842784783Z,719.20856
2016-10-04 15:27:08.942784783Z,623.763328
2016-10-04 15:27:08.922784783Z,661.310176
2016-10-04 15:27:08.822784783Z,777.001088
2016-10-04 15:27:09.142784783Z,505.991312
2016-10-04 15:27:08.962784783Z,719.867424
2016-10-04 15:27:09.002784783Z,679.912928
2016-10-04 15:27:09.102784783Z,580.022336
2016-10-04 15:27:09.122784783Z,561.329536
2016-10-04 15:27:09.182784783Z,502.36336
2016-10-04 15:27:08.522784783Z,1168.527696
2016-10-04 15:27:09.082784783Z,610.33776
2016-10-04 15:27:09.062784783Z,632.549488
2016-10-04 15:27:08.002784783Z,1693.032352
2016-10-04 15:27:09.222784783Z,490.014144
2016-10-04 15:27:09.042784783Z,728.567376
2016-10-04 15:27:09.202784783Z,640.345888
2016-10-04 15:27:09.382784783Z,462.838176
2016-10-04 15:27:09.302784783Z,543.302384
2016-10-04 15:27:09.342784783Z,505.864752
2016-10-04 15:27:09.262784783Z,635.103792
2016-10-04 15:27:09.362784783Z,643.293424
2016-10-04 15:27:08.162784783Z,1844.106496
2016-10-04 15:27:09.402784783Z,604.646
2016-10-04 15:27:09.282784783Z,727.205824
2016-10-04 15:27:09.442784783Z,588.697808
2016-10-04 15:27:09.162784783Z,896.188816
2016-10-04 15:27:09.482784783Z,582.333296
2016-10-04 15:27:09.602784783Z,583.0848
2016-10-04 15:27:09.522784783Z,671.013888
2016-10-04 15:27:09.562784783Z,647.92952
2016-10-04 15:27:09.582784783Z,633.564208
2016-10-04 15:27:09.622784783Z,604.585296
2016-10-04 15:27:09.542784783Z,696.599408
2016-10-04 15:27:09.662784783Z,579.244768
2016-10-04 15:27:09.682784783Z,576.507856
2016-10-04 15:27:09.742784783Z,601.310608
2016-10-04 15:27:09.702784783Z,652.686112
2016-10-04 15:27:09.642784783Z,739.05544
2016-10-04 15:27:09.842784783Z,544.7616
2016-10-04 15:27:09.422784783Z,985.522432
2016-10-04 15:27:09.822784783Z,585.765584
2016-10-04 15:27:09.922784783Z,492.809376
2016-10-04 15:27:09.722784783Z,694.57376
2016-10-04 15:27:09.802784783Z,644.464864
2016-10-04 15:27:09.502784783Z,947.332992
2016-10-04 15:27:09.782784783Z,670.30496
2016-10-04 15:27:09.962784783Z,516.182064
2016-10-04 15:27:09.862784783Z,618.46856
2016-10-04 15:27:09.882784783Z,600.901472
2016-10-04 15:27:09.902784783Z,588.959984
2016-10-04 15:27:09.982784783Z,540.653088
2016-10-04 15:27:09.942784783Z,737.792192
2016-10-04 15:27:10.002784783Z,806.745872
2016-10-04 15:27:09.022784783Z,1811.194512
2016-10-04 15:27:09.322784783Z,1703.85416
2016-10-04 15:27:09.242784783Z,1953.728048
2016-10-04 15:27:09.462784783Z,2123.482544
2016-10-04 15:27:09.762784783Z,1825.771008
2016-10-04 15:27:11.644807727Z,571.78144
2016-10-04 15:27:11.634807727Z,582.430448
2016-10-04 15:27:11.624807727Z,627.962432
2016-10-04 15:27:11.684807727Z,568.664432
2016-10-04 15:27:11.664807727Z,592.28424
2016-10-04 15:27:11.654807727Z,613.199008
2016-10-04 15:27:11.604807727Z,664.723248
2016-10-04 15:27:11.594809679Z,674.938784
2016-10-04 15:27:11.674807727Z,605.089248
2016-10-04 15:27:11.614807727Z,693.395248
2016-10-04 15:27:11.794807727Z,545.600208
2016-10-04 15:27:11.714807727Z,627.802352
2016-10-04 15:27:11.764807727Z,599.174656
2016-10-04 15:27:11.695019647Z,673.601984
2016-10-04 15:27:11.779386095Z,610.913152
2016-10-04 15:27:11.724807727Z,669.021664
2016-10-04 15:27:11.834807727Z,569.705888
2016-10-04 15:27:11.804807727Z,606.130224
2016-10-04 15:27:11.814807727Z,597.656608
2016-10-04 15:27:11.754807727Z,669.540768
2016-10-04 15:27:11.824807727Z,611.98808
2016-10-04 15:27:11.874807727Z,564.72048
2016-10-04 15:27:11.894807727Z,560.7976
2016-10-04 15:27:11.734807727Z,730.474672
2016-10-04 15:27:11.704807727Z,805.4816
2016-10-04 15:27:11.884807727Z,625.77832
2016-10-04 15:27:11.934807727Z,586.564048
2016-10-04 15:27:11.964807727Z,562.764016
2016-10-04 15:27:11.944807727Z,586.75328
2016-10-04 15:27:11.924807727Z,622.037312
2016-10-04 15:27:11.844807727Z,721.259296
2016-10-04 15:27:11.854807727Z,715.67048
2016-10-04 15:27:11.984807727Z,594.683856
2016-10-04 15:27:11.864807727Z,721.923904
2016-10-04 15:27:12.024807727Z,570.53048
2016-10-04 15:27:11.784807727Z,837.92112
2016-10-04 15:27:11.994807727Z,640.017344
2016-10-04 15:27:12.004807727Z,641.880272
2016-10-04 15:27:11.954807727Z,718.690656
2016-10-04 15:27:11.974807727Z,710.886816
2016-10-04 15:27:11.904807727Z,781.304288
2016-10-04 15:27:12.114807727Z,580.825056
2016-10-04 15:27:12.124807727Z,571.558224
2016-10-04 15:27:12.104807727Z,592.902944
2016-10-04 15:27:12.054807727Z,644.683888
2016-10-04 15:27:12.154807727Z,547.768608
2016-10-04 15:27:12.064807727Z,645.670256
2016-10-04 15:27:12.144807727Z,625.335152
2016-10-04 15:27:12.084807727Z,687.538288
2016-10-04 15:27:12.074807727Z,727.405456
2016-10-04 15:27:12.034807727Z,777.179904
2016-10-04 15:27:12.264807727Z,573.006528
2016-10-04 15:27:12.044807727Z,793.45584
2016-10-04 15:27:12.014807727Z,876.507008
2016-10-04 15:27:12.234807727Z,700.980176
2016-10-04 15:27:12.274807727Z,662.724976
2016-10-04 15:27:12.134807727Z,804.602416
2016-10-04 15:27:12.244807727Z,711.122096
2016-10-04 15:27:12.174807727Z,797.163024
2016-10-04 15:27:12.254807727Z,739.52048
2016-10-04 15:27:12.204807727Z,794.050992
2016-10-04 15:27:12.314807727Z,701.71912
2016-10-04 15:27:12.324807727Z,697.471488
2016-10-04 15:27:12.164807727Z,868.61024
2016-10-04 15:27:12.364807727Z,670.410912
2016-10-04 15:27:12.294807727Z,740.764832
2016-10-04 15:27:11.914807727Z,1143.504304
2016-10-04 15:27:12.094807727Z,982.400064
2016-10-04 15:27:12.184807727Z,899.944448
2016-10-04 15:27:12.304807727Z,781.56712
2016-10-04 15:27:12.354807727Z,733.235904
2016-10-04 15:27:12.344807727Z,759.188896
2016-10-04 15:27:12.224807727Z,892.438752
2016-10-04 15:27:12.194807727Z,922.522256
2016-10-04 15:27:12.214807727Z,922.820848
2016-10-04 15:27:12.374807727Z,763.12144
2016-10-04 15:27:12.394807727Z,755.53216
2016-10-04 15:27:12.454807727Z,715.086736
2016-10-04 15:27:12.334807727Z,839.383856
2016-10-04 15:27:12.404807727Z,820.356384
2016-10-04 15:27:12.554807727Z,676.976368
2016-10-04 15:27:12.574807727Z,660.175792
2016-10-04 15:27:12.494807727Z,740.429168
2016-10-04 15:27:12.534807727Z,702.686672
2016-10-04 15:27:12.524807727Z,716.516032
2016-10-04 15:27:12.474807727Z,778.481984
2016-10-04 15:27:12.424807727Z,834.00608
2016-10-04 15:27:12.504807727Z,756.880032
2016-10-04 15:27:12.414807727Z,849.646016
2016-10-04 15:27:12.464807727Z,801.352272
2016-10-04 15:27:12.614807727Z,655.785008
2016-10-04 15:27:12.444807727Z,828.754816
2016-10-04 15:27:12.484807727Z,792.237488
2016-10-04 15:27:12.544807727Z,746.380032
2016-10-04 15:27:12.564807727Z,727.319968
2016-10-04 15:27:12.634807727Z,666.516992
2016-10-04 15:27:12.644807727Z,658.109472
2016-10-04 15:27:12.584807727Z,741.221984
2016-10-04 15:27:12.434807727Z,891.423888
2016-10-04 15:27:12.654807727Z,671.51296
2016-10-04 15:27:12.624807727Z,704.347264
2016-10-04 15:27:12.594807727Z,735.405968
2016-10-04 15:27:12.694807727Z,655.80176
2016-10-04 15:27:12.674807727Z,701.292656
2016-10-04 15:27:12.604807727Z,779.522992
2016-10-04 15:27:12.784807727Z,686.543632
2016-10-04 15:27:12.824807727Z,666.31216
2016-10-04 15:27:12.864807727Z,632.259824
2016-10-04 15:27:11.744807727Z,1755.223552
2016-10-04 15:27:12.894807727Z,638.451904
2016-10-04 15:27:12.834807727Z,720.14104
2016-10-04 15:27:12.724807727Z,834.585648
2016-10-04 15:27:12.914807727Z,645.01008
2016-10-04 15:27:12.854807727Z,705.01
2016-10-04 15:27:12.974807727Z,585.10128
2016-10-04 15:27:12.964807727Z,595.843264
2016-10-04 15:27:12.764807727Z,795.931376
2016-10-04 15:27:12.754807727Z,810.945088
2016-10-04 15:27:12.934807727Z,654.239968
2016-10-04 15:27:12.514807727Z,1075.99952
2016-10-04 15:27:12.794807727Z,798.36328
2016-10-04 15:27:12.924807727Z,671.376736
2016-10-04 15:27:12.804807727Z,812.415456
2016-10-04 15:27:12.734807727Z,1012.98896
2016-10-04 15:27:12.884807727Z,872.604848
2016-10-04 15:27:12.814807727Z,947.811216
2016-10-04 15:27:12.994807727Z,769.012112
2016-10-04 15:27:12.704807727Z,1066.093552
2016-10-04 15:27:13.074807727Z,706.191728
2016-10-04 15:27:12.774807727Z,1011.895536
2016-10-04 15:27:12.664807727Z,1124.597664
2016-10-04 15:27:12.684807727Z,1104.603168
2016-10-04 15:27:12.944807727Z,846.027536
2016-10-04 15:27:12.844807727Z,951.85248
2016-10-04 15:27:13.124807727Z,690.299248
2016-10-04 15:27:13.154807727Z,663.270368
2016-10-04 15:27:13.024807727Z,799.150832
2016-10-04 15:27:13.064807727Z,761.696512
2016-10-04 15:27:12.744807727Z,1104.373504
2016-10-04 15:27:12.874807727Z,974.74536
2016-10-04 15:27:13.204807727Z,645.05568
2016-10-04 15:27:13.084807727Z,769.91392
2016-10-04 15:27:12.984807727Z,870.327344
2016-10-04 15:27:13.164807727Z,700.104672
2016-10-04 15:27:13.004807727Z,889.199904
2016-10-04 15:27:13.134807727Z,759.93704
2016-10-04 15:27:13.144807727Z,776.333904
2016-10-04 15:27:12.904807727Z,1035.717952
2016-10-04 15:27:12.714807727Z,1282.629216
2016-10-04 15:27:13.044807727Z,953.18488
2016-10-04 15:27:13.014807727Z,983.819696
2016-10-04 15:27:13.034807727Z,963.842752
2016-10-04 15:27:13.314807727Z,726.014768
2016-10-04 15:27:13.174807727Z,866.1908
2016-10-04 15:27:12.954807727Z,1089.102672
2016-10-04 15:27:13.294807727Z,768.443168
2016-10-04 15:27:13.094807727Z,968.578656
2016-10-04 15:27:13.054807727Z,1008.589472
2016-10-04 15:27:13.304807727Z,758.603952
2016-10-04 15:27:13.104807727Z,958.631296
2016-10-04 15:27:13.254807727Z,808.797936
2016-10-04 15:27:13.284807727Z,782.479552
2016-10-04 15:27:13.394807727Z,701.955888
2016-10-04 15:27:13.264807727Z,839.569888
2016-10-04 15:27:13.324807727Z,830.735552
2016-10-04 15:27:13.404807727Z,751.061344
2016-10-04 15:27:12.284807727Z,1874.7084
2016-10-04 15:27:13.114807727Z,1052.695488
2016-10-04 15:27:13.274807727Z,908.669744
2016-10-04 15:27:13.184807727Z,999.27984
2016-10-04 15:27:13.444807727Z,741.41688
2016-10-04 15:27:13.224807727Z,962.344272
2016-10-04 15:27:13.244807727Z,949.32424
2016-10-04 15:27:13.464807727Z,735.761296
2016-10-04 15:27:13.194807727Z,1005.981296
2016-10-04 15:27:13.344807727Z,870.338816
2016-10-04 15:27:13.234807727Z,1070.513728
2016-10-04 15:27:13.214807727Z,1090.78232
2016-10-04 15:27:13.504807727Z,851.116848
2016-10-04 15:27:13.554807727Z,801.660224
2016-10-04 15:27:13.374807727Z,992.624416
2016-10-04 15:27:13.594807727Z,775.732704
2016-10-04 15:27:13.474807727Z,895.916528
2016-10-04 15:27:12.384807727Z,1986.472352
2016-10-04 15:27:13.384807727Z,1010.97512
2016-10-04 15:27:13.764807727Z,639.893888
2016-10-04 15:27:13.454807727Z,950.093472
2016-10-04 15:27:13.364807727Z,1041.770752
2016-10-04 15:27:13.514807727Z,891.918336
2016-10-04 15:27:13.334807727Z,1073.62992
2016-10-04 15:27:13.624807727Z,783.663984
2016-10-04 15:27:13.524807727Z,885.005088
2016-10-04 15:27:13.604807727Z,915.487712
2016-10-04 15:27:13.564807727Z,956.356592
2016-10-04 15:27:13.534807727Z,997.333328
2016-10-04 15:27:13.614807727Z,917.514448
2016-10-04 15:27:13.424807727Z,1107.815376
2016-10-04 15:27:13.484807727Z,1047.975872
2016-10-04 15:27:13.634807727Z,897.984992
2016-10-04 15:27:13.654807727Z,878.0672
2016-10-04 15:27:13.414807727Z,1118.38112
2016-10-04 15:27:13.664807727Z,870.383328
2016-10-04 15:27:13.544807727Z,990.44168
2016-10-04 15:27:13.724807727Z,810.734656
2016-10-04 15:27:13.644807727Z,890.87592
2016-10-04 15:27:13.674807727Z,865.812416
2016-10-04 15:27:13.734807727Z,854.660384
2016-10-04 15:27:13.704807727Z,884.673744
2016-10-04 15:27:13.684807727Z,904.786816
2016-10-04 15:27:13.714807727Z,896.961584
2016-10-04 15:27:13.774807727Z,839.592128
2016-10-04 15:27:13.754807727Z,859.593408
2016-10-04 15:27:13.694807727Z,919.624576
2016-10-04 15:27:13.854807727Z,763.241056
2016-10-04 15:27:13.784807727Z,833.778208
2016-10-04 15:27:13.814807727Z,817.655568
2016-10-04 15:27:13.944807727Z,687.749056
2016-10-04 15:27:13.744807727Z,887.96912
2016-10-04 15:27:13.804807727Z,838.499056
2016-10-04 15:27:13.964807727Z,678.727904
2016-10-04 15:27:13.874807727Z,769.20336
2016-10-04 15:27:13.494807727Z,1151.503376
2016-10-04 15:27:13.834807727Z,811.67144
2016-10-04 15:27:13.794807727Z,854.676224
2016-10-04 15:27:13.894807727Z,756.012496
2016-10-04 15:27:13.574807727Z,1076.99528
2016-10-04 15:27:13.954807727Z,697.168272
2016-10-04 15:27:13.844807727Z,817.1444
2016-10-04 15:27:13.924807727Z,737.524624
2016-10-04 15:27:13.824807727Z,837.72136
2016-10-04 15:27:13.914807727Z,901.488256
2016-10-04 15:27:13.994807727Z,822.358992
2016-10-04 15:27:13.934807727Z,882.853456
2016-10-04 15:27:14.104807727Z,723.735888
2016-10-04 15:27:14.074807727Z,787.759264
2016-10-04 15:27:13.864807727Z,997.910672
2016-10-04 15:27:13.884807727Z,978.1244
2016-10-04 15:27:14.004807727Z,858.484752
2016-10-04 15:27:14.014807727Z,848.99376
2016-10-04 15:27:14.064807727Z,813.409904
2016-10-04 15:27:14.044807727Z,833.809264
2016-10-04 15:27:13.974807727Z,904.598304
2016-10-04 15:27:13.984807727Z,896.022976
2016-10-04 15:27:14.084807727Z,800.025792
2016-10-04 15:27:14.144807727Z,741.857136
