Elapsed_Time,Mulesoft_Latency
2016-10-04 22:05:24.534974445Z,74.635658
2016-10-04 22:05:24.634974158Z,24.353852
2016-10-04 22:05:24.734974158Z,28.189336
2016-10-04 22:05:24.834974158Z,23.417886
2016-10-04 22:05:24.934974158Z,48.544309
2016-10-04 22:05:25.034974158Z,13.447022
2016-10-04 22:05:25.134974158Z,17.491827
2016-10-04 22:05:25.234974158Z,12.422769
2016-10-04 22:05:25.334974158Z,64.442722
2016-10-04 22:05:25.434974158Z,16.594725
2016-10-04 22:05:25.534974158Z,15.815148
2016-10-04 22:05:25.634974158Z,21.680744
2016-10-04 22:05:25.734974158Z,22.27032
2016-10-04 22:05:25.834974158Z,14.795734
2016-10-04 22:05:25.934974158Z,13.930749
2016-10-04 22:05:26.034974158Z,34.514859
2016-10-04 22:05:26.134974158Z,12.198841
2016-10-04 22:05:26.234974158Z,28.650698
2016-10-04 22:05:26.334974158Z,27.732666
2016-10-04 22:05:26.434974158Z,12.398027
2016-10-04 22:05:26.534974158Z,16.813262
2016-10-04 22:05:26.634974158Z,11.771668
2016-10-04 22:05:26.734974158Z,15.106662
2016-10-04 22:05:26.834974158Z,12.331629
2016-10-04 22:05:26.934974158Z,90.713309
2016-10-04 22:05:27.034974158Z,10.863324
2016-10-04 22:05:27.134974158Z,16.165215
2016-10-04 22:05:27.234974158Z,12.842331
2016-10-04 22:05:27.334974158Z,13.320958
2016-10-04 22:05:27.434974158Z,11.454716
2016-10-04 22:05:27.534974158Z,11.090131
2016-10-04 22:05:27.634974158Z,14.157215
2016-10-04 22:05:27.734974158Z,12.474431
2016-10-04 22:05:27.834974158Z,12.979843
2016-10-04 22:05:27.934974158Z,27.469073
2016-10-04 22:05:28.034974158Z,81.925917
2016-10-04 22:05:28.134974158Z,55.828607
2016-10-04 22:05:28.234974158Z,13.013493
2016-10-04 22:05:28.334974158Z,23.59591
2016-10-04 22:05:28.434974158Z,19.572368
2016-10-04 22:05:28.534974158Z,12.196268
2016-10-04 22:05:28.634974158Z,12.293588
2016-10-04 22:05:28.734974158Z,21.301604
2016-10-04 22:05:28.834974158Z,37.915558
2016-10-04 22:05:28.934974158Z,23.95968
2016-10-04 22:05:29.034974158Z,19.046232
2016-10-04 22:05:29.134974158Z,12.385088
2016-10-04 22:05:29.234974158Z,22.711477
2016-10-04 22:05:29.334974158Z,11.944887
2016-10-04 22:05:29.434974158Z,25.054759
2016-10-04 22:05:29.534974158Z,12.580831
2016-10-04 22:05:29.634974158Z,11.826353
2016-10-04 22:05:29.734974158Z,15.202534
2016-10-04 22:05:29.834974158Z,21.53246
2016-10-04 22:05:29.934974158Z,12.163897
2016-10-04 22:05:30.034974158Z,11.602226
2016-10-04 22:05:30.134974158Z,12.353813
2016-10-04 22:05:30.234974158Z,14.197635
2016-10-04 22:05:30.334974158Z,12.585957
2016-10-04 22:05:30.434974158Z,20.773594
2016-10-04 22:05:30.534974158Z,12.582759
2016-10-04 22:05:30.634974158Z,11.170398
2016-10-04 22:05:30.734974158Z,14.859458
2016-10-04 22:05:30.834974158Z,73.094873
2016-10-04 22:05:30.934974158Z,72.391616
2016-10-04 22:05:31.034974158Z,12.487993
2016-10-04 22:05:31.134974158Z,20.844896
2016-10-04 22:05:31.234974158Z,12.779869
2016-10-04 22:05:31.334974158Z,20.85907
2016-10-04 22:05:31.434974158Z,12.656112
2016-10-04 22:05:31.534974158Z,11.280453
2016-10-04 22:05:31.634974158Z,11.501149
2016-10-04 22:05:31.734974158Z,64.570218
2016-10-04 22:05:31.834974158Z,20.354293
2016-10-04 22:05:31.934974158Z,12.903151
2016-10-04 22:05:32.034974158Z,22.044814
2016-10-04 22:05:32.134974158Z,11.631355
2016-10-04 22:05:32.234974158Z,14.334596
2016-10-04 22:05:32.334974158Z,10.844733
2016-10-04 22:05:32.434974158Z,11.4985
2016-10-04 22:05:32.534974158Z,14.813082
2016-10-04 22:05:32.634974158Z,11.393918
2016-10-04 22:05:32.734974158Z,65.019781
2016-10-04 22:05:32.834974158Z,12.841773
2016-10-04 22:05:32.934974158Z,12.705113
2016-10-04 22:05:33.034974158Z,14.898461
2016-10-04 22:05:33.134974158Z,11.308577
2016-10-04 22:05:33.234974158Z,12.66249
2016-10-04 22:05:33.334974158Z,12.683225
2016-10-04 22:05:33.434974158Z,13.082234
2016-10-04 22:05:33.534974158Z,22.925307
2016-10-04 22:05:33.634974158Z,26.571916
2016-10-04 22:05:33.734974158Z,12.94066
2016-10-04 22:05:33.834974158Z,19.336343
2016-10-04 22:05:33.934974158Z,11.541647
