Elapsed_Time,Status Code,Latency,Bytes_Out,Bytes_In
1475430490811563104,200,573543313,39,382,""
1475430490816563104,200,573527224,39,382,""
1475430490831563104,200,568980277,39,382,""
1475430490826563104,200,578524176,39,382,""
1475430490821563104,200,597656969,39,382,""
1475430490836563104,200,605365931,39,382,""
1475430490806563104,200,636150551,39,382,""
1475430490841563104,200,611435139,39,382,""
1475430490861563104,200,617365534,39,382,""
1475430490856563104,200,629192429,39,382,""
1475430490866563104,200,633051986,39,382,""
1475430490871563104,200,633640024,39,382,""
1475430490876908346,200,638609063,39,382,""
1475430490846563104,200,671249497,39,382,""
1475430490686563104,200,854519526,39,382,""
1475430490886563104,200,656702062,39,382,""
1475430490881563104,200,676011587,39,382,""
1475430490896563104,200,666883686,39,382,""
1475430490891563104,200,674990922,39,382,""
1475430490901563104,200,675581469,39,382,""
1475430490906563104,200,677373699,39,382,""
1475430490916563104,200,693914338,39,382,""
1475430490921563104,200,698110486,39,382,""
1475430490911563104,200,718908509,39,382,""
1475430490926563104,200,704804103,39,382,""
1475430490936563104,200,712232714,39,382,""
1475430490941563104,200,710078978,39,382,""
1475430490946563104,200,721014022,39,382,""
1475430490931563104,200,747306050,39,382,""
1475430490951563104,200,733408225,39,382,""
1475430490966563104,200,727576717,39,382,""
1475430490956563104,200,751115019,39,382,""
1475430490976563104,200,770184863,39,382,""
1475430490961563104,200,787257286,39,382,""
1475430490986563104,200,768747548,39,382,""
1475430490971563104,200,794105346,39,382,""
1475430490991563104,200,776109680,39,382,""
1475430490996563104,200,774615402,39,382,""
1475430490981563104,200,795955843,39,382,""
1475430491006563104,200,798551233,39,382,""
1475430491001563104,200,814417880,39,382,""
1475430491011563104,200,807331693,39,382,""
1475430491043377860,200,791286090,39,382,""
1475430491043378420,200,794015036,39,382,""
1475430491043379290,200,824897925,39,382,""
1475430491051563104,200,820352360,39,382,""
1475430491043375467,200,839369151,39,382,""
1475430491061563104,200,842286041,39,382,""
1475430491046563104,200,882542407,39,382,""
1475430491066563104,200,867819843,39,382,""
1475430491071563104,200,870845640,39,382,""
1475430491056563104,200,887897650,39,382,""
1475430491076563104,200,909770339,39,382,""
1475430491091563104,200,912433753,39,382,""
1475430491086563104,200,917435605,39,382,""
1475430490851563104,200,1160019036,39,382,""
1475430491043376926,200,968207779,39,382,""
1475430491096563104,200,940126821,39,382,""
1475430491081563104,200,955298444,39,382,""
1475430491111563104,200,957789977,39,382,""
1475430491126563104,200,967699144,39,382,""
1475430491016563104,200,1094163565,39,382,""
1475430491121563104,200,989196753,39,382,""
1475430491106563104,200,1010527030,39,382,""
1475430491101563104,200,1018149269,39,382,""
1475430491116563104,200,1012512662,39,382,""
1475430491136563104,200,997219668,39,382,""
1475430491131563104,200,1014885567,39,382,""
1475430491141563104,200,1023300491,39,382,""
1475430491156563104,200,1014800402,39,382,""
1475430491151563104,200,1023170186,39,382,""
1475430491171563104,200,1021471160,39,382,""
1475430491166563104,200,1026670050,39,382,""
1475430491161563104,200,1032524790,39,382,""
1475430491176563104,200,1041903425,39,382,""
1475430491146563104,200,1074034738,39,382,""
1475430491181563104,200,1043090465,39,382,""
1475430491186563104,200,1044000715,39,382,""
1475430491196563104,200,1059498321,39,382,""
1475430491207538019,200,1050251205,39,382,""
1475430491201563104,200,1073831786,39,382,""
1475430491216563104,200,1071224602,39,382,""
1475430491226563104,200,1068460753,39,382,""
1475430491236563104,200,1083883286,39,382,""
1475430491231563104,200,1088938930,39,382,""
1475430491211563104,200,1118719096,39,382,""
1475430491241563104,200,1091558007,39,382,""
1475430491246563104,200,1107566249,39,382,""
1475430491251563104,200,1110201738,39,382,""
1475430491261563104,200,1125931882,39,382,""
1475430491191563104,200,1197015285,39,382,""
1475430491266563104,200,1123927494,39,382,""
1475430491256563104,200,1139329239,39,382,""
1475430491271563104,200,1125193329,39,382,""
1475430491221563104,200,1202937010,39,382,""
1475430491276563104,200,1147948434,39,382,""
1475430491286563104,200,1160599454,39,382,""
1475430491291563104,200,1161108013,39,382,""
1475430491301563104,200,1156615622,39,382,""
1475430491306563104,200,1166356312,39,382,""
1475430491281563104,200,1198355733,39,382,""
1475430491316563104,200,1164620321,39,382,""
1475430491296563104,200,1185325580,39,382,""
1475430491311563104,200,1171298069,39,382,""
1475430491326563104,200,1189869090,39,382,""
1475430491331563104,200,1188052488,39,382,""
1475430491321563104,200,1198053344,39,382,""
1475430491336563104,200,1200439416,39,382,""
